"applicantsCount","companyName","descriptionHtml","descriptionText","location","postedAt","title"
"200","Orang Tua Group","<strong>Responsibilities<br><br></strong><ul><li>Melaksanakan prosedur uji analitik &amp; kultur di laboratorium</li><li>Mengoperasikan instrumen sesuai protokol dan SOP</li><li>Mendokumentasikan hasil kerja secara akurat</li><li>Menjaga kualitas &amp; keselamatan kerja di lingkungan lab<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>S1 Jurusan Biologi, Bio Technology, Medical Lab Science dengan IPK minimal 3.00</li><li>Memiliki keahlian praktis dalam Flowcytometry, PCR, ELISA atau metode imunologi dan kultur sel imun</li><li>Memiliki pengalaman di bidang Lab Molekuler, Kultur Sel, dan Lab Riset</li><li>Memiliki kemampuan bahasa inggris secara lisan maupun tulisan</li><li>Bersedia ditempatkan di Jakarta Barat</li></ul>","ResponsibilitiesMelaksanakan prosedur uji analitik &amp; kultur di laboratoriumMengoperasikan instrumen sesuai protokol dan SOPMendokumentasikan hasil kerja secara akuratMenjaga kualitas &amp; keselamatan kerja di lingkungan labRequirementsS1 Jurusan Biologi, Bio Technology, Medical Lab Science dengan IPK minimal 3.00Memiliki keahlian praktis dalam Flowcytometry, PCR, ELISA atau metode imunologi dan kultur sel imunMemiliki pengalaman di bidang Lab Molekuler, Kultur Sel, dan Lab RisetMemiliki kemampuan bahasa inggris secara lisan maupun tulisanBersedia ditempatkan di Jakarta Barat","Jakarta, Jakarta, Indonesia","2025-10-29","Medical Laboratory Technologist"
"120","Wings Group Indonesia (Sayap Mas Utama)","<strong>Responsibilities<br><br></strong><ul><li>Menginstal, mengkonfigurasi, dan mendistribusikan perangkat keras dan perangkat lunak</li><li>Berbicara dengan karyawan untuk segera mengetahui akar permasalahan mereka dan memberikan umpan balik yang tepat waktu dan akurat melalui serangkaian tindakan untuk menyelesaikan masalah</li><li>Mendukung pembukaan cabang baru</li><li>Memantau dan memelihara sistem dan jaringan komputer</li><li>Menguji dan mengevaluasi teknologi baru</li><li>Mengelola aset perangkat keras dan perangkat lunak</li><li>Mengidentifikasi kerentanan jaringan dan menerapkan rencana keamanan yang komprehensif untuk mengelola risiko dan membuat keputusan TI berbasis risiko<br><br></li></ul><strong>Requirements<br><br></strong><ul><li> Pendidikan minimal S1 dari jurusan Teknik Informasi/Sistem Informasi dengan IPK minimal 3,00 (pada skala 4,00).</li><li> Memiliki pengalaman kerja minimal 1 tahun dalam bidang IT Operasional / IT Support / IT Technician.</li><li> Dapat mendiagnosis dan menyelesaikan masalah hardware (Laptop, Desktop, Printer, CCTV, et), software, dan jaringan.</li><li> Familiar dengan proses distribusi dan pembelian perangkat IT.</li><li> Menginstal, mengonfigurasi, dan memelihara perangkat keras dan perangkat lunak komputer.</li><li> Memantau dan memelihara sistem dan jaringan.</li><li> Mampu berkomunikasi dengan efektif, baik lisan maupun tertulis dalam proses menyampaikan ide dan konsep kepada users.</li><li> Memiliki keterampilan komunikasi dan interpersonal yang sangat baik. Dan mampu bekerja secara mandiri dan sebagai bagian dari tim.</li></ul>","ResponsibilitiesMenginstal, mengkonfigurasi, dan mendistribusikan perangkat keras dan perangkat lunakBerbicara dengan karyawan untuk segera mengetahui akar permasalahan mereka dan memberikan umpan balik yang tepat waktu dan akurat melalui serangkaian tindakan untuk menyelesaikan masalahMendukung pembukaan cabang baruMemantau dan memelihara sistem dan jaringan komputerMenguji dan mengevaluasi teknologi baruMengelola aset perangkat keras dan perangkat lunakMengidentifikasi kerentanan jaringan dan menerapkan rencana keamanan yang komprehensif untuk mengelola risiko dan membuat keputusan TI berbasis risikoRequirements Pendidikan minimal S1 dari jurusan Teknik Informasi/Sistem Informasi dengan IPK minimal 3,00 (pada skala 4,00). Memiliki pengalaman kerja minimal 1 tahun dalam bidang IT Operasional / IT Support / IT Technician. Dapat mendiagnosis dan menyelesaikan masalah hardware (Laptop, Desktop, Printer, CCTV, et), software, dan jaringan. Familiar dengan proses distribusi dan pembelian perangkat IT. Menginstal, mengonfigurasi, dan memelihara perangkat keras dan perangkat lunak komputer. Memantau dan memelihara sistem dan jaringan. Mampu berkomunikasi dengan efektif, baik lisan maupun tertulis dalam proses menyampaikan ide dan konsep kepada users. Memiliki keterampilan komunikasi dan interpersonal yang sangat baik. Dan mampu bekerja secara mandiri dan sebagai bagian dari tim.","Pontianak, West Kalimantan, Indonesia","2025-09-15","IT Officer Pontianak"
"25","PT Gree Electric Appliances Indonesia","<strong>Responsibilities<br><br></strong><ul><li>Design and develop scalable, high-performance web applications using a - variety of front-end and back-end technologies</li><li>Collaborate with cross-functional teams to translate business requirements into technical solutions</li><li>Write clean, well-documented, and testable code to ensure the reliability and maintainability of our systems</li><li>Participate in code reviews, troubleshooting, and problem-solving to improve the overall quality of our codebase</li><li>Stay up-to-date with the latest web development trends, frameworks, and best practices<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Bachelor's degree in Computer Science, Information Technology, or a related field</li><li>Minimum 3 years of experience as a Full Stack Developer, with a strong portfolio of web development projects</li><li>Proficient in Laravel, React.js, Mysql</li><li>Knowledge of software development best practices, including version control, testing, and deployment</li><li>Strong problem-solving and analytical skills, with the ability to think critically and creatively</li><li>Excellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams</li></ul>","ResponsibilitiesDesign and develop scalable, high-performance web applications using a - variety of front-end and back-end technologiesCollaborate with cross-functional teams to translate business requirements into technical solutionsWrite clean, well-documented, and testable code to ensure the reliability and maintainability of our systemsParticipate in code reviews, troubleshooting, and problem-solving to improve the overall quality of our codebaseStay up-to-date with the latest web development trends, frameworks, and best practicesRequirementsBachelor's degree in Computer Science, Information Technology, or a related fieldMinimum 3 years of experience as a Full Stack Developer, with a strong portfolio of web development projectsProficient in Laravel, React.js, MysqlKnowledge of software development best practices, including version control, testing, and deploymentStrong problem-solving and analytical skills, with the ability to think critically and creativelyExcellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams","Jakarta, Jakarta, Indonesia","2025-12-09","Full Stack Developer (English Speaker)"
"200","The Jakarta Post","<strong>Responsibilities<br><br></strong><ul><li>Support researchers in the data collection process, including gathering, organizing, and validating relevant information for ongoing projects.</li><li>Contribute to the research and development of project ideas by conducting preliminary studies, literature reviews, and analysis.</li><li>Assist with the preparation of project documents, correspondence, and administrative tasks to ensure smooth execution of research activities.<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Students from any major are welcome to apply. Currently pursuing or recently completed a degree in Political Science, International Relations, Economics or other related fields are prioritized.</li><li>Ability to work independently as well as collaboratively in a team environment.</li><li>Available for a minimum of 3 months of full-time internship and willing to work from the office.</li><li>Demonstrates enthusiasm for learning, critical thinking, and staying updated on political, economic, and social developments in Indonesia.</li><li>Have a strong interest in social issues/politic based research.</li></ul>","ResponsibilitiesSupport researchers in the data collection process, including gathering, organizing, and validating relevant information for ongoing projects.Contribute to the research and development of project ideas by conducting preliminary studies, literature reviews, and analysis.Assist with the preparation of project documents, correspondence, and administrative tasks to ensure smooth execution of research activities.RequirementsStudents from any major are welcome to apply. Currently pursuing or recently completed a degree in Political Science, International Relations, Economics or other related fields are prioritized.Ability to work independently as well as collaboratively in a team environment.Available for a minimum of 3 months of full-time internship and willing to work from the office.Demonstrates enthusiasm for learning, critical thinking, and staying updated on political, economic, and social developments in Indonesia.Have a strong interest in social issues/politic based research.","Jakarta, Jakarta, Indonesia","2025-09-22","Research Intern"
"187","PT. Indosat Tbk","<strong>Job Summary<br><br></strong>Data Science work includes: - Creating data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets - Analysis may be applied to various areas of the business (e.g., Market Economics, Supply Chain, Marketing/Advertising, Scientific Research, etc.) - Researching and applying knowledge of existing and emerging data science principles, theories, and techniques to inform business decisions - Applying and/or implementing Machine Learning (ML) or other Artificial Intelligence (AI) techniques to solve business problems and/or derive actionable business insights - At higher career levels, may conduct scientific research projects with the goal of breaking new ground in data analytics<br><br><strong>Job Responsibilities<br><br></strong><strong>Leadership Competencies<br><br></strong><ul><li>Collaborating </li><li>Continuous Improvement </li><li>Business Awareness </li><li>Planning and Organizing </li><li>Quality Orientation </li><li>Analysis </li><li>Applied Learning </li><li>Building Customer Loyalty <br><br></li></ul><strong>Technical Competencies<br><br></strong><ul><li>Business Analysis and Decision Support </li><li>Consulting, Transformation and Enablement </li><li>Database Administration and Performance </li><li>Machine Learning Engineering and MLOps </li><li>Cloud Platforms and Infrastructure-as-Code </li><li>Business Intelligence and Data Products </li><li>Performance Monitoring and Site Reliability </li><li>Data Governance, Quality and Stewardship </li><li>Advanced Analytics and Data Science </li><li>Research, Innovation and Emerging Tech </li><li>Testing, QA and Data Validation </li><li>Security, Privacy and Compliance (Data) </li><li>Data Engineering and Integration Pipelines <br><br></li></ul><strong>Behavioral Expectations<br><br></strong><strong>Personality Traits<br><br></strong><strong>Internal Stakeholders<br><br></strong><strong>External Stakeholders</strong>","Job SummaryData Science work includes: - Creating data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets - Analysis may be applied to various areas of the business (e.g., Market Economics, Supply Chain, Marketing/Advertising, Scientific Research, etc.) - Researching and applying knowledge of existing and emerging data science principles, theories, and techniques to inform business decisions - Applying and/or implementing Machine Learning (ML) or other Artificial Intelligence (AI) techniques to solve business problems and/or derive actionable business insights - At higher career levels, may conduct scientific research projects with the goal of breaking new ground in data analyticsJob ResponsibilitiesLeadership CompetenciesCollaborating Continuous Improvement Business Awareness Planning and Organizing Quality Orientation Analysis Applied Learning Building Customer Loyalty Technical CompetenciesBusiness Analysis and Decision Support Consulting, Transformation and Enablement Database Administration and Performance Machine Learning Engineering and MLOps Cloud Platforms and Infrastructure-as-Code Business Intelligence and Data Products Performance Monitoring and Site Reliability Data Governance, Quality and Stewardship Advanced Analytics and Data Science Research, Innovation and Emerging Tech Testing, QA and Data Validation Security, Privacy and Compliance (Data) Data Engineering and Integration Pipelines Behavioral ExpectationsPersonality TraitsInternal StakeholdersExternal Stakeholders","Jakarta, Indonesia","2025-12-12","Data Scientist"
"200","Orang Tua Group","<strong>Responsibilities<br><br></strong><ul><li>Performing installation, troubleshooting Server (Windows, Centos Virtualisai, Active Directory)</li><li>Installation and troubleshooting of router network devices (Cisco, Mikrotik, etc.), VLAN switching</li><li>Troubleshoot access control devices, security (Firewall, CCTV, etc.)</li><li>Monitor and follow up to providers regarding server devices, network</li><li>Perform administration of IT Infrastructure documents</li><li>Go visit the assigned factory/shop/area<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Education minimal S1 majoring in Informatics, Computers, and Information Systems</li><li>Minimal 1 year experience in the same field</li><li>Fresh Graduates welcome to apply</li><li>GPA min 3.00</li><li>Minimum age 23 to 30 years</li></ul>","ResponsibilitiesPerforming installation, troubleshooting Server (Windows, Centos Virtualisai, Active Directory)Installation and troubleshooting of router network devices (Cisco, Mikrotik, etc.), VLAN switchingTroubleshoot access control devices, security (Firewall, CCTV, etc.)Monitor and follow up to providers regarding server devices, networkPerform administration of IT Infrastructure documentsGo visit the assigned factory/shop/areaRequirementsEducation minimal S1 majoring in Informatics, Computers, and Information SystemsMinimal 1 year experience in the same fieldFresh Graduates welcome to applyGPA min 3.00Minimum age 23 to 30 years","Jakarta, Jakarta, Indonesia","2025-08-25","IT Infrastructure Staff"
"200","Wings Group Indonesia (Sayap Mas Utama)","<strong>Responsibilities<br><br></strong><ul><li>Develop detailed 3D models of architectural, structural, and MEP elements using Revit.</li><li>Prepare accurate construction and shop drawings, including plans, sections, elevations, and details.</li><li>Identify and resolve clashes between different systems using BIM tools and coordinate changes with relevant teams.</li><li>Participate in design reviews and team meetings to discuss project progress and resolve technical issues.</li><li>Ensure BIM models adhere to project-specific and industry-standard guidelines.<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Candidate must own at least a Bachelor's Degree in Civil Engineering, Architecture, or a related field.</li><li>At least 2–5 years of hands-on experience in BIM modeling, with a strong focus on Revit</li><li>Advanced proficiency in Autodesk Revit</li><li>Ability to read and interpret technical drawings, specifications, and design documents.</li><li>High level of accuracy and quality in modeling and drawing production.</li></ul>","ResponsibilitiesDevelop detailed 3D models of architectural, structural, and MEP elements using Revit.Prepare accurate construction and shop drawings, including plans, sections, elevations, and details.Identify and resolve clashes between different systems using BIM tools and coordinate changes with relevant teams.Participate in design reviews and team meetings to discuss project progress and resolve technical issues.Ensure BIM models adhere to project-specific and industry-standard guidelines.RequirementsCandidate must own at least a Bachelor's Degree in Civil Engineering, Architecture, or a related field.At least 2–5 years of hands-on experience in BIM modeling, with a strong focus on RevitAdvanced proficiency in Autodesk RevitAbility to read and interpret technical drawings, specifications, and design documents.High level of accuracy and quality in modeling and drawing production.","East Jakarta, Jakarta, Indonesia","2025-05-03","BIM Modeller"
"200","PT Berca Hardayaperkasa","<ul><li>Responsible to implementing &amp; supporting networking solution (project/maintenance)</li><li>Deploying and inspecting IT Network Systems</li><li>Monitoring the performance and capacity of computer systems</li><li>Performing regular checks on network hardware and software</li><li>Responding to network alerts and hardware malfunctions</li><li>Diagnosing and troubleshooting network errors</li><li>Tracking and documenting network issues and compiling incidents reports</li><li>Responding to user requests and providing network training</li><li>Shifting 24x7</li><li>Minimum SMK TKJ or D3/S1 from Informatics Engineering/Electrical/Electronic or related discipline</li><li>Minimum having 1 year experience in the same field</li><li>Understand Network Engineering (TCP/IP, Routing &amp; Switch, Wireless Network, Bridging Network, Security, F5, Fortigate, Aruba) </li><li>Experienced in Network design, concept, implementation</li></ul>","Responsible to implementing &amp; supporting networking solution (project/maintenance)Deploying and inspecting IT Network SystemsMonitoring the performance and capacity of computer systemsPerforming regular checks on network hardware and softwareResponding to network alerts and hardware malfunctionsDiagnosing and troubleshooting network errorsTracking and documenting network issues and compiling incidents reportsResponding to user requests and providing network trainingShifting 24x7Minimum SMK TKJ or D3/S1 from Informatics Engineering/Electrical/Electronic or related disciplineMinimum having 1 year experience in the same fieldUnderstand Network Engineering (TCP/IP, Routing &amp; Switch, Wireless Network, Bridging Network, Security, F5, Fortigate, Aruba) Experienced in Network design, concept, implementation","Jakarta, Jakarta, Indonesia","2025-10-31","Network Operation Center"
"200","HSBC","<strong>Some Careers Shine Brighter Than Others.<br><br></strong>HSBC Indonesia invites passionate and driven individuals to join us key positions within our <strong>International</strong> <strong>Wealth and Personal Banking</strong> business. Available roles include <strong>SKY Relationship Manager, Staff Mobile Sales Force Direct and Staff Mobile Sales Force Tele.<br><br></strong>Whether you’re experienced in Relationship Management, Telesales, or Marketing, or are looking to explore new opportunities in the financial sector — we welcome your application.<br><br>Take the next step in your career and explore how you can grow with one of the world’s leading international banks.<br><br><strong>Qualifications For SKY Relationship Manager<br><br></strong><ul><li>Must have education standard to at least Bachelor and be of a legal working age.</li><li>Have good communication skills, broad insight of banking and markets, able to work both individually and in teams. </li><li>Min 2 years’ experience on managing customers.</li><li>Hold or ability to acquire relevant certification in maximum 6 months since onboard (WAPERD, WPPE, AAJI, etc).</li><li>Excellent communication skills and is always polite and friendly.</li><li>Must be flexible, customer centric and have the ability to thrive in a team environment seeking feedback and open to development.</li><li>Ability to multitask, work well under pressure, work in a high-volume and fast paced environment is required.</li><li>Self-motivated with well-developed sales and service competencies and ability to drive numbers to achieve performance expectations.<br><br></li></ul><strong>Qualifications For Mobile Sales Force Direct<br><br></strong><ul><li>Min. education S1 from Economics, Finance and Management are preferable.</li><li>Fresh Graduate / experience as sales force in financial industry.</li><li>Financial literate with wide understanding on bank’s product range asset, liabilities and investment.</li><li>Ability to analyze customer financial needs and design and offer suitable bank’s product to meet their financial</li><li>Objective within their risk profile.</li><li>Hasinterpersonal communication skill including negotiation and salesmanship for effective selling.</li><li>Result oriented but always demonstrate customer centricity behavior when delivering the work.<br><br></li></ul><strong>Qualification For Mobile Sales Force Tele<br><br></strong><ul><li>Minimum bachelor’s degree S1 in any major and be of a legal working age.</li><li>Must be proficient in language(s) required by process.</li><li>Confident communication, with excellent interpersonal, negotiation and selling skills.</li><li>Highly motivated eager to accept new challenges, and able to work under pressure.</li><li>Have experience in selling banking product specifically for credit card product will be advantage.</li><li>Fast learner, persistent and customer orientation.</li><li>Open to working flexible shifting schedule.</li><li>Computer literate.<br><br></li></ul><strong>Please write the name of the position you are interested with in your CV. If you’re profile match our needs, you will be contacted through email by our recruiters for the next stage.<br><br></strong><strong>You’ll achieve more at HSBC<br><br></strong>HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment.","Some Careers Shine Brighter Than Others.HSBC Indonesia invites passionate and driven individuals to join us key positions within our International Wealth and Personal Banking business. Available roles include SKY Relationship Manager, Staff Mobile Sales Force Direct and Staff Mobile Sales Force Tele.Whether you’re experienced in Relationship Management, Telesales, or Marketing, or are looking to explore new opportunities in the financial sector — we welcome your application.Take the next step in your career and explore how you can grow with one of the world’s leading international banks.Qualifications For SKY Relationship ManagerMust have education standard to at least Bachelor and be of a legal working age.Have good communication skills, broad insight of banking and markets, able to work both individually and in teams. Min 2 years’ experience on managing customers.Hold or ability to acquire relevant certification in maximum 6 months since onboard (WAPERD, WPPE, AAJI, etc).Excellent communication skills and is always polite and friendly.Must be flexible, customer centric and have the ability to thrive in a team environment seeking feedback and open to development.Ability to multitask, work well under pressure, work in a high-volume and fast paced environment is required.Self-motivated with well-developed sales and service competencies and ability to drive numbers to achieve performance expectations.Qualifications For Mobile Sales Force DirectMin. education S1 from Economics, Finance and Management are preferable.Fresh Graduate / experience as sales force in financial industry.Financial literate with wide understanding on bank’s product range asset, liabilities and investment.Ability to analyze customer financial needs and design and offer suitable bank’s product to meet their financialObjective within their risk profile.Hasinterpersonal communication skill including negotiation and salesmanship for effective selling.Result oriented but always demonstrate customer centricity behavior when delivering the work.Qualification For Mobile Sales Force TeleMinimum bachelor’s degree S1 in any major and be of a legal working age.Must be proficient in language(s) required by process.Confident communication, with excellent interpersonal, negotiation and selling skills.Highly motivated eager to accept new challenges, and able to work under pressure.Have experience in selling banking product specifically for credit card product will be advantage.Fast learner, persistent and customer orientation.Open to working flexible shifting schedule.Computer literate.Please write the name of the position you are interested with in your CV. If you’re profile match our needs, you will be contacted through email by our recruiters for the next stage.You’ll achieve more at HSBCHSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment.","South Jakarta, Jakarta, Indonesia","2025-12-11","General Career Opportunities in HSBC Indonesia"
"200","PT Astra International Tbk","<strong>Deskripsi Pekerjaan<br><br></strong><ul><li>Mengembangkan dan meningkatkan strategi bisnis </li><li>Melakukan analisis pasar dan kompetitor</li><li>Melaksanakan strategi penjualan B2B</li><li>Pitching &amp; Canvassing kepada customer potential</li><li>Menjaga hubungan dengan mitra bisnis</li><li>Mencapai Target Unit Sales<br><br></li></ul>Informasi lebih lanjut dapat menghubungi WhatsApp Recruitment Astra UD Trucks (087787290974)<br><br><strong>Persyaratan<br><br></strong><ul><li>Min. S1 (Semua jurusan) dengan min. IPK 3,00</li><li>Mampu berkomunikasi secara efektif &amp; memiliki kemampuan persuasi yang baik</li><li>Mampu beradaptasi dengan cepat di lingkungan baru</li><li>Minat di bidang penjualan &amp; otomotif</li><li>Bersedia ditempatkan di seluruh Indonesia</li></ul>","Deskripsi PekerjaanMengembangkan dan meningkatkan strategi bisnis Melakukan analisis pasar dan kompetitorMelaksanakan strategi penjualan B2BPitching &amp; Canvassing kepada customer potentialMenjaga hubungan dengan mitra bisnisMencapai Target Unit SalesInformasi lebih lanjut dapat menghubungi WhatsApp Recruitment Astra UD Trucks (087787290974)PersyaratanMin. S1 (Semua jurusan) dengan min. IPK 3,00Mampu berkomunikasi secara efektif &amp; memiliki kemampuan persuasi yang baikMampu beradaptasi dengan cepat di lingkungan baruMinat di bidang penjualan &amp; otomotifBersedia ditempatkan di seluruh Indonesia","Jakarta, Jakarta, Indonesia","2025-07-21","Management Trainee Business Consultant"
